BUG_ID,COUNT,PHASE,INPUTS
C12_2,1,4,77
C14_2,1,6,24
C15_2,1,4,37
C16_2,1,4,58
C17_2,1,4,74
C17_4_1,6,2,61
C18_4,1,2,56
C22_6_1,2,3,26
C25_6_1,2,3,6
C27_4_1,1,1,10
C27_4_2,1,4,79
C29_1,1,1,10
C29_3,1,1,10
C29_6,1,3,16
C30_3,1,4,50
C35_3_1,2,1,10
C38_2,1,4,20
C39_3,1,5,34
C42_1,1,1,10
C42_3,1,1,10
C42_6,1,3,9
C43_1,1,1,10
C43_6,1,3,9
C44_2,1,6,55
C45_3,1,4,11
C45_4,1,1,10
