BUG_ID,COUNT,PHASE,INPUTS
C14_3_1,3,0,12
C14_3_2,1,0,6
C14_3_3,4,0,32
C15_3_1,2,0,12
C17_3_1,1,0,12
C17_3_2,1,0,4
C17_3_3,2,0,32
C17_3_4,1,0,5
C12_4_1,1,0,38
C12_4_2,1,0,22
C12_4_3,1,0,1
C14_4_1,1,0,9
C15_4_1,1,0,11
C15_4_2,1,0,18
C15_4_3,1,0,5
C17_4_1,1,0,74
C17_4_2,1,0,9
C27_4_1,1,0,14
C45_4_1,1,0,21
C47_4_1,1,0,4
